arch,cpu_clock,isa,l1_size,l2_shared_by_cores,l2_size,l3_size,ld_shared_by_cores,mem_clock,mem_size,mem_type,no_of_threads,num-cpus,system_name,bus_speed_qpi,bus_speed_dmi,l1_ins_assoc,l1_data_assoc,l2_assoc,l3_assoc,raw_bus_speed,converted_bus_speed,ddr_type,runtime
AMD Opteron 4280,2.8,X86_64,256,1,8,16384,1,1600,32,PC3-12800R,16,16,Tyan YR190-B8228- AMD Opteron 4280,6.4,,2,4,16,64,6.4 QPI,25.6,3,138.095217
AMD Opteron 4284,3,X86_64,256,1,8,16384,1,1600,32,PC3-12800R,16,16,Tyan YR190-B8228- AMD Opteron 4284,6.4,,2,4,16,64,6.4 QPI,25.6,3,133.431201
AMD Opteron 4226,2.7,X86_64,192,1,6,16384,1,1600,32,PC3-12800R,12,12,Tyan YR190-B8228- AMD Opteron 4226,6.4,,2,4,16,64,6.4 QPI,25.6,3,143.742
AMD Opteron 4228 HE,2.8,X86_64,192,1,6,16384,1,1600,32,PC3-12800R,12,12,Tyan YR190-B8228- AMD Opteron 4228 HE,6.4,,2,4,16,64,6.4 QPI,25.6,3,136.906959
AMD Opteron 4234,3.1,X86_64,192,1,6,16384,1,1600,32,PC3-12800R,12,12,Tyan YR190-B8228- AMD Opteron 4234,6.4,,2,4,16,64,6.4 QPI,25.6,3,132.322857
AMD Opteron 4238,3.3,X86_64,192,1,6,16384,1,1600,32,PC3-12800R,12,12,Tyan YR190-B8228- AMD Opteron 4238,6.4,,2,4,16,64,6.4 QPI,25.6,3,127.54885
AMD Opteron 4256 EE,1.6,X86_64,256,1,8,16384,1,1600,32,PC3-12800R,16,16,Tyan YR190-B8228- AMD Opteron 4256 EE,6.4,,2,4,16,64,6.4 QPI,25.6,3,186.613663
AMD Opteron 6278,2.4,X86_64,512,1,16,32768,1,1600,64,PC3-12800R,32,32,Supermicro A+ Server 1022G-NTF- AMD Opteron 6278,6.4,,2,4,16,64,6.4 QPI,25.6,3,145.799861
AMD Opteron 6284 SE,2.7,X86_64,512,1,16,32768,1,1600,64,PC3-12800R,32,32,Supermicro A+ Server 1022G-NTF- AMD Opteron 6284 SE,6.4,,2,4,16,64,6.4 QPI,25.6,3,139.919508
AMD Opteron 4230 HE,2.9,X86_64,192,1,6,16384,1,1600,32,PC3-12800R,12,12,Tyan YR190-B8228- AMD Opteron 4230 HE,6.4,,2,4,16,64,6.4 QPI,25.6,3,134.560678
AMD Opteron 4240,3.4,X86_64,192,1,6,16384,1,1600,32,PC3-12800R,12,12,Tyan YR190-B8228- AMD Opteron 4240,6.4,,2,4,16,64,6.4 QPI,25.6,3,126.121232
AMD Opteron 4276 HE,2.6,X86_64,256,1,8,16384,1,1600,32,PC3-12800R,16,16,Tyan YR190-B8228- AMD Opteron 4276 HE,6.4,,2,4,16,64,6.4 QPI,25.6,3,144.724826
AMD Opteron 6320,2.8,X86_64,256,1,8,32768,1,1600,128,PC3-12800R,16,16,Supermicro A+ Server 1022G-NTF- AMD Opteron 6320,6.4,,2,4,16,0,6.4 QPI,25.6,3,131.160512
AMD Opteron 6328,3.2,X86_64,256,1,8,32768,1,1600,128,PC3-12800R,16,16,Supermicro A+ Server 1022G-NTF- AMD Opteron 6328,6.4,,2,4,16,0,6.4 QPI,25.6,3,122.758526
AMD Opteron 6344,2.6,X86_64,384,1,12,32768,1,1600,128,PC3-12800R,24,24,Supermicro A+ Server 1022G-NTF- AMD Opteron 6344,6.4,,2,4,16,0,6.4 QPI,25.6,3,131.445841
AMD Opteron 6348,2.8,X86_64,384,1,12,32768,1,1600,128,PC3-12800R,24,24,Supermicro A+ Server 1022G-NTF- AMD Opteron 6348,6.4,,2,4,16,0,6.4 QPI,25.6,3,127.36261
AMD Opteron 6366 HE,1.8,X86_64,512,1,16,32768,1,1600,128,PC3-12800R,32,32,Supermicro A+ Server 1022G-NTF- AMD Opteron 6366 HE,6.4,,2,4,16,0,6.4 QPI,25.6,3,144.548835
AMD Opteron 6376,2.3,X86_64,512,1,16,32768,1,1600,128,PC3-12800R,32,32,Supermicro A+ Server 1022G-NTF- AMD Opteron 6376,6.4,,2,4,16,0,6.4 QPI,25.6,3,138.115686
AMD Opteron 6378,2.4,X86_64,512,1,16,32768,1,1600,128,PC3-12800R,32,32,Supermicro A+ Server 1022G-NTF- AMD Opteron 6378,6.4,,2,4,16,0,6.4 QPI,25.6,3,134.669357
