algos,mean_absolute_error_test_medae,mean_absolute_error_test_medape,mean_absolute_error_test_rmse,mean_absolute_error_train_medae,mean_absolute_error_train_medape,mean_absolute_error_train_rmse,mean_squared_error_test_medae,mean_squared_error_test_medape,mean_squared_error_test_rmse,mean_squared_error_train_medae,mean_squared_error_train_medape,mean_squared_error_train_rmse,median_absolute_error_test_medae,median_absolute_error_test_medape,median_absolute_error_test_rmse,median_absolute_error_train_medae,median_absolute_error_train_medape,median_absolute_error_train_rmse,r2_test_medae,r2_test_medape,r2_test_rmse,r2_train_medae,r2_train_medape,r2_train_rmse,root_mean_squared_error_test_medae,root_mean_squared_error_test_medape,root_mean_squared_error_test_rmse,root_mean_squared_error_train_medae,root_mean_squared_error_train_medape,root_mean_squared_error_train_rmse
SPEC_INT_458.sjeng,0.09964781916206966,3.6905943313389318,0.3447934912136243,0.099826929886345,3.6188547386708314,0.24669403856138747,0.09964781916206966,3.6905943313389318,0.3447934912136243,0.099826929886345,3.6188547386708314,0.24669403856138747,0.09964781916206966,3.6905943313389318,0.3447934912136243,0.099826929886345,3.6188547386708314,0.24669403856138747,0.09964781916206966,3.6905943313389318,0.3447934912136243,0.099826929886345,3.6188547386708314,0.24669403856138747,0.09964781916206966,3.6905943313389318,0.3447934912136243,0.099826929886345,3.6188547386708314,0.24669403856138747
SPEC_INT_462.libquantum,0.0671925756333398,55.20010243757976,0.5957181259413068,0.06730148252065443,53.00870324090163,0.6104357780054849,0.0671925756333398,55.20010243757976,0.5957181259413068,0.06730148252065443,53.00870324090163,0.6104357780054849,0.0671925756333398,55.20010243757976,0.5957181259413068,0.06730148252065443,53.00870324090163,0.6104357780054849,0.0671925756333398,55.20010243757976,0.5957181259413068,0.06730148252065443,53.00870324090163,0.6104357780054849,0.0671925756333398,55.20010243757976,0.5957181259413068,0.06730148252065443,53.00870324090163,0.6104357780054849
SPEC_INT_473.astar,0.10839248733155826,5.497064817299542,0.2759677510745927,0.10174038231041493,5.261500209915654,0.23854868228588774,0.10839248733155826,5.497064817299542,0.2759677510745927,0.10174038231041493,5.261500209915654,0.23854868228588774,0.10839248733155826,5.497064817299542,0.2759677510745927,0.10174038231041493,5.261500209915654,0.23854868228588774,0.10839248733155826,5.497064817299542,0.2759677510745927,0.10174038231041493,5.261500209915654,0.23854868228588774,0.10839248733155826,5.497064817299542,0.2759677510745927,0.10174038231041493,5.261500209915654,0.23854868228588774
SPEC_Float_603.bwaves_s,0.019493431546701384,2.3010010866279518,0.1586250119759253,0.008951042278028176,1.143885083550621,0.06654876978144343,0.03279772312485413,4.65878135484454,0.1973878554679823,0.029250132021908643,4.183361926491466,0.25228030208124036,0.03279772312485413,4.65878135484454,0.1973878554679823,0.029250132021908643,4.183361926491466,0.25228030208124036,0.03279772312485413,4.65878135484454,0.1973878554679823,0.029250132021908643,4.183361926491466,0.25228030208124036,,,,,,
SPEC_Float_607.cactuBSSN_s,0.018292303003255225,2.781552133774454,0.09478029260574965,0.007950318378422139,1.2466576729405605,0.14763450910409198,0.03430856931942011,5.889877744900394,0.25287612533040044,0.030005025108564676,5.067455129059555,0.7068258314325175,0.033467397337277355,5.767260092139411,0.27478991209103854,0.03090317384464658,5.505241512986911,0.7343527482421974,0.03430856931942011,5.889877744900394,0.25287612533040044,0.030005025108564676,5.067455129059555,0.7068258314325175,,,,,,
SPEC_Float_619.lbm_s,0.027650637658294563,5.695743178931744,0.3884918928153197,0.025528388217301717,5.375505362629556,0.38094469724278396,0.03654163791831627,8.310870266654234,0.39058419022234014,0.03979609452361696,8.782309135211857,0.5304173253467663,0.028106962579934287,5.928920686747181,0.39246082615228867,0.030110235982274636,5.932706506604687,0.48664769206563985,0.03654163791831627,8.310870266654234,0.39058419022234014,0.03979609452361696,8.782309135211857,0.5304173253467663,,,,,,
SPEC_Float_621.wrf_s,0.031591791429449206,2.564980401748233,0.1798733671370814,0.014099664144726742,1.2984065766039432,0.1335545268017086,0.06820129323072485,5.607962338542139,0.38170169294550743,0.06240615414765005,5.579048811243976,0.46178555513701625,0.06652298843150736,5.7408214536612565,0.4191960143075493,0.06706681202137194,6.1570573330884635,0.47884187909929615,0.06820129323072485,5.607962338542139,0.38170169294550743,0.06240615414765005,5.579048811243976,0.46178555513701625,,,,,,
SPEC_Float_627.cam4_s,0.02342064567904084,3.4075208654324785,0.15746032457737147,0.008604917235344234,1.2397770360788218,0.3505529387379595,0.04276821512763082,6.634073404763013,0.3282415612583668,0.04251080997261103,6.109585249280681,0.5728443182886459,0.041169625256986364,6.309825744728826,0.34838787486481504,0.04027268117765198,6.140565315293198,0.5846302719390067,0.04276821512763082,6.634073404763013,0.3282415612583668,0.04251080997261103,6.109585249280681,0.5728443182886459,,,,,,
SPEC_Float_628.pop2_s,0.057046425438072645,3.2449793231846202,0.19515271279101917,0.022569420462816958,1.3100434567191537,0.16808370811787124,0.09513916861369903,5.305745071071959,0.3600862365856865,0.08500790439246253,4.843394640940138,0.6368996384853931,0.08563401600135159,4.911334675629678,0.42957521269265364,0.08863549835478826,5.268211020883203,0.6904688545263973,0.09513916861369903,5.305745071071959,0.3600862365856865,0.08500790439246253,4.843394640940138,0.6368996384853931,,,,,,
SPEC_Float_638.imagick_s,0.01264590570377674,3.2257043610192753,0.1127752264921522,0.004883049363495477,1.2899524394994555,0.08793341004318656,0.02788815830628777,8.262974279805492,0.43303198184237607,0.022788606995530536,6.9434386287772805,0.6658680354673021,0.02788815830628777,8.262974279805492,0.43303198184237607,0.022788606995530536,6.9434386287772805,0.6658680354673021,0.02788815830628777,8.262974279805492,0.43303198184237607,0.022788606995530536,6.9434386287772805,0.6658680354673021,,,,,,
