sys,sysname,arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem_size,mem_type,mem_clock,num_cpus,bus_speed,system,executable,PS,no_of_procs,runtime
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_24,B,24,102.48
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_12,B,12,77.78
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_27,B,27,68.31
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_25,B,25,61.81
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_31,B,31,68.01
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_6,B,6,89.1
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_5,B,5,130.96
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_19,B,19,70.47
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_21,B,21,80.15
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_29,B,29,67.11
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_23,B,23,63.67
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_10,B,10,80.45
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_15,B,15,78.36
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_26,B,26,60.83
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_14,B,14,78.61
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_8,B,8,88.99
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_9,B,9,76.22
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_28,B,28,67.92
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_18,B,18,67.43
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_2,B,2,270.84
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_4,B,4,90.68
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_1,B,1,223.81
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_16,B,16,35.49
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_22,B,22,35.89
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_13,B,13,41.28
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_3,B,3,222.54
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_20,B,20,35.11
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_11,B,11,39.96
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_17,B,17,35.56
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_7,B,7,56.71
